CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
1734,97075,30.491,19.54,none,Calibration,B8:27:EB:B1:D5:C6,1675873639
1713,97094,30.296,25.489,none,Calibration,B8:27:EB:98:CF:BA,1675873640
1697,97086,29.111,20.161,none,Calibration,B8:27:EB:0F:85:C3,1675873642
1648,97081,29.997,25.016,none,Calibration,B8:27:EB:34:50:CA,1675873643
1741,97079,30.392,18.936,none,Calibration,B8:27:EB:86:0C:42,1675873645
1662,96618,30.593,18.969,none,Calibration,7C:3F:E7:16:00:69,1675873707
1727,96629,30.454,19.337,none,Calibration,B8:27:EB:B1:D5:C6,1675873709
1679,96641,30.262,25.21,none,Calibration,B8:27:EB:98:CF:BA,1675873710
1695,96644,29.108,20.08,none,Calibration,B8:27:EB:0F:85:C3,1675873712
1627,96627,29.979,24.74,none,Calibration,B8:27:EB:34:50:CA,1675873714
1738,96643,30.432,18.798000000000002,none,Calibration,B8:27:EB:86:0C:42,1675873715
1611,96623,30.579,18.757,none,Calibration,7C:3F:E7:16:00:69,1675873777
1685,96616,30.491,19.239,none,Calibration,B8:27:EB:B1:D5:C6,1675873779
1622,96647,30.291,25.108,none,Calibration,B8:27:EB:98:CF:BA,1675873780
1645,96642,29.119,19.888,none,Calibration,B8:27:EB:0F:85:C3,1675873782
1565,96637,29.933,24.612,none,Calibration,B8:27:EB:34:50:CA,1675873783
,,,none,Calibration,B8:27:EB:86:0C:42,1675873784
1579,96614,30.598,18.656,none,Calibration,7C:3F:E7:16:00:69,1675873846
1651,96628,30.491,19.165,none,Calibration,B8:27:EB:B1:D5:C6,1675873847
1600,96637,30.283,24.98,none,Calibration,B8:27:EB:98:CF:BA,1675873849
1608,96632,29.119,19.787,none,Calibration,B8:27:EB:0F:85:C3,1675873851
1545,96631,29.954,24.549,none,Calibration,B8:27:EB:34:50:CA,1675873852
1661,96641,30.432,18.548000000000002,none,Calibration,B8:27:EB:86:0C:42,1675873854
1565,96621,30.633,18.566,none,Calibration,7C:3F:E7:16:00:69,1675873916
1632,96623,30.497,19.114,none,Calibration,B8:27:EB:B1:D5:C6,1675873917
1582,96640,30.299,24.902,none,Calibration,B8:27:EB:98:CF:BA,1675873920
,,,none,Calibration,B8:27:EB:0F:85:C3,1675873920
1539,96630,29.973,24.464,none,Calibration,B8:27:EB:34:50:CA,1675873922
1638,96636,30.414,18.447,none,Calibration,B8:27:EB:86:0C:42,1675873923
1551,96621,30.614,18.467,none,Calibration,7C:3F:E7:16:00:69,1675873985
1614,96624,30.478,19.029,none,Calibration,B8:27:EB:B1:D5:C6,1675873987
1578,96649,30.307,24.789,none,Calibration,B8:27:EB:98:CF:BA,1675873989
1582,96639,29.103,19.657,none,Calibration,B8:27:EB:0F:85:C3,1675873991
,,,none,Calibration,B8:27:EB:34:50:CA,1675873991
1616,96631,30.435,18.344,none,Calibration,B8:27:EB:86:0C:42,1675873993
1534,96614,30.641,18.351,none,Calibration,7C:3F:E7:16:00:69,1675874057
1604,96623,30.454,18.936,none,Calibration,B8:27:EB:B1:D5:C6,1675874058
,,,none,Calibration,B8:27:EB:98:CF:BA,1675874059
1569,96638,29.129,19.557,none,Calibration,B8:27:EB:0F:85:C3,1675874061
,,,none,Calibration,B8:27:EB:34:50:CA,1675874061
1603,96642,30.422,18.258,none,Calibration,B8:27:EB:86:0C:42,1675874063
1527,96625,30.625,18.295,none,Calibration,7C:3F:E7:16:00:69,1675874126
1594,96621,30.451,18.87,none,Calibration,B8:27:EB:B1:D5:C6,1675874127
1556,96641,30.315,24.644,none,Calibration,B8:27:EB:98:CF:BA,1675874129
1556,96641,29.135,19.486,none,Calibration,B8:27:EB:0F:85:C3,1675874130
1521,96640,29.951999999999998,24.212,none,Calibration,B8:27:EB:34:50:CA,1675874132
1591,96631,30.443,18.168,none,Calibration,B8:27:EB:86:0C:42,1675874134
1513,96620,30.627,18.223,none,Calibration,7C:3F:E7:16:00:69,1675874196
1585,96630,30.502,18.788,none,Calibration,B8:27:EB:B1:D5:C6,1675874197
